Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
QUISSAMA;2022;Educação;6º Bimestre;33.09;33.17;50773765.58
RESENDE;2022;Educação;6º Bimestre;33.4;35.36;176296022.43
RIO BONITO;2022;Educação;6º Bimestre;40.24;31.87;42538577.45
RIO CLARO;2022;Educação;6º Bimestre;26.63;25.64;22131761.33
RIO DAS FLORES;2022;Educação;6º Bimestre;42.74;;
RIO DAS OSTRAS;2022;Educação;6º Bimestre;25.6;25.62;112256384.67
SANTA MARIA MADALENA;2022;Educação;6º Bimestre;29.14;27.58;16493277.08
SANTO ANTONIO DE PADUA;2022;Educação;6º Bimestre;28.56;28.32;28678474.81
SAO FIDELIS;2022;Educação;6º Bimestre;32.63;32.64;28132065.62
SAO FRANCISCO DE ITABAPOANA;2022;Educação;6º Bimestre;28.06;35.16;-34365535.9
SAO GONCALO;2022;Educação;6º Bimestre;28.34;27.91;201386880.57
SAO JOAO DA BARRA;2022;Educação;6º Bimestre;29.03;29.03;83131984.17
SAO JOAO DE MERITI;2022;Educação;6º Bimestre;32.2;18.84;74923511.72
SAO JOSE DE UBA;2022;Educação;6º Bimestre;32.78;32.6;12424726.47
SAO JOSE DO VALE DO RIO PRETO;2022;Educação;6º Bimestre;33.32;32.4;21440809.27
SAO PEDRO DA ALDEIA;2022;Educação;6º Bimestre;28.89;31.71;-57876528.71
SAPUCAIA;2022;Educação;6º Bimestre;28.42;28.2;22477402.72
SAQUAREMA;2022;Educação;6º Bimestre;31.67;31.38;128677754.83
SEROPEDICA;2022;Educação;6º Bimestre;40.22;33.53;69693443.62
SILVA JARDIM;2022;Educação;6º Bimestre;28.94;27.21;24584784.66
SUMIDOURO;2022;Educação;6º Bimestre;31.83;29.88;18260324.63
TANGUA;2022;Educação;6º Bimestre;32.64;37.0;27691712.05
TERESOPOLIS;2022;Educação;6º Bimestre;30.86;-25.16;98202385.12
TRAJANO DE MORAIS;2022;Educação;6º Bimestre;33.33;33.18;18187546.73
TRES RIOS;2022;Educação;6º Bimestre;26.15;25.6;54111114.28
VALENCA;2022;Educação;6º Bimestre;29.64;28.2;41068331.33
VARRE-SAI;2022;Educação;6º Bimestre;33.97;33.66;14224324.23
